% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.43    0.001689           0     63586           getdents
 19.46    0.000553           0    286065           fcntl
 10.77    0.000306           0    126946           close
  3.69    0.000105           0     32012           openat
  3.52    0.000100           0     63560           newfstatat
  2.18    0.000062           0     32025           fstat
  0.67    0.000019           0       100           brk
  0.28    0.000008           0      3709           write
  0.00    0.000000           0        10           read
  0.00    0.000000           0        14         1 open
  0.00    0.000000           0        24           mmap
  0.00    0.000000           0        14           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         2           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         3         2 ioctl
  0.00    0.000000           0         8         8 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           fchdir
  0.00    0.000000           0         1           getrlimit
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.002842                608090        13 total
